Date,Average Humidity (%),Average Temperature (°C),Wind Gusts (km/h),Cloud Cover (%),Pressure (hPa),Dew Point (°C),Rainfall
12/15/2024,67,27.2,10.9,80,1013.6,23.1,0
12/16/2024,83,32,20.8,66,1007.1,28.1,0
12/17/2024,70,27.9,22.3,58,1006.3,23.6,0
12/18/2024,70,27.7,22.1,61,1007.2,23.6,1
12/19/2024,71,27.8,12.5,26,1007.6,23.8,1
12/20/2024,72,26.6,14,53,1007.9,22.4,1
12/21/2024,78,28.4,10.6,31,1006.6,24.7,1
12/22/2024,84,30.7,10.4,26,1006.6,26.9,0
12/23/2024,70,24.1,31.3,42,1013.8,22,0
12/24/2024,72,28.6,32.1,58,1005.4,24.2,0
12/25/2024,83,29.8,18.9,74,1007,27.4,0
12/26/2024,76,29.3,10,33,1012.1,24.6,0
12/27/2024,66,31.6,11.9,78,1014.1,29.3,1
12/28/2024,77,30.1,27.1,77,1013.7,28,0
12/29/2024,83,32,32.4,48,1006.8,28,1
12/30/2024,75,29.1,15.7,84,1007.9,26.2,1
12/31/2024,83,28.5,13.9,46,1011,25.7,1
1/1/2025,80,24.7,36.8,99,1007,19.9,0
1/2/2025,84,26.9,20.8,62,1007.6,23.6,1
1/3/2025,80,27.5,31.9,60,1006,24.9,0
1/4/2025,85,27,31.3,97,1013.8,22.6,0
1/5/2025,67,28.3,34.2,80,1013.4,23.6,1
1/6/2025,65,25,20.2,49,1005.4,21.5,1
1/7/2025,79,26.7,19.5,17,1008.9,23.5,0
1/8/2025,82,31.2,23.9,39,1009.3,26.9,1
1/9/2025,85,30.6,32.8,51,1012.1,28.4,0
1/10/2025,81,24.9,18.3,57,1007.6,21,0
1/11/2025,69,29.2,34.2,55,1012.1,26,1
1/12/2025,84,29.4,27.2,87,1006.7,26.9,0
1/13/2025,74,31.9,31.5,94,1006.6,27,0
1/14/2025,70,26.5,22.7,97,1010.6,24.4,0
1/15/2025,80,30.7,27.6,88,1009.4,26.4,1
1/16/2025,85,32,29.7,63,1008.5,29.3,0
1/17/2025,84,24.5,28.3,63,1010.8,21.4,1
1/18/2025,66,25.2,15.7,91,1011.1,22.2,1
1/19/2025,81,27.1,27.1,67,1007.4,24.7,1
1/20/2025,82,25,10.9,43,1010.1,20,0
1/21/2025,72,25.1,26.2,48,1012.7,22.1,0
1/22/2025,65,25.5,30.5,13,1008.3,21.2,1
1/23/2025,76,31.1,20.7,88,1005.1,27.4,0
1/24/2025,76,25.4,20.9,60,1011.4,21.4,1
1/25/2025,85,27.4,30.8,62,1006.1,22.7,0
1/26/2025,71,25.9,26.7,17,1007.7,21.8,1
1/27/2025,69,27.3,30,23,1008.7,24,1
1/28/2025,68,27.9,37.2,31,1011.4,24.1,1
1/29/2025,85,29,33.4,43,1014.3,26.2,1
1/30/2025,84,26.1,22.5,91,1006.6,22.9,0
1/31/2025,68,27.1,20.5,62,1007.7,24.2,1
2/1/2025,79,26.2,11.6,48,1007.8,21.3,1
2/2/2025,73,25,34.9,54,1015,21.8,0
2/3/2025,85,28.6,28.6,99,1006.7,25.9,0
2/4/2025,72,25.2,19.1,44,1013.9,22.4,0
2/5/2025,79,31.7,30.3,68,1007.2,27.7,0
2/6/2025,67,31.3,28.5,28,1006.7,28.5,0
2/7/2025,81,27.5,23.8,15,1007,24.3,0
2/8/2025,77,27,29.2,61,1007.7,23.8,0
2/9/2025,73,28.6,25.5,77,1011.8,24.1,0
2/10/2025,85,28,16.5,30,1007.1,25.5,1
2/11/2025,80,27.9,12.2,50,1014.7,23.1,1
2/12/2025,83,24.4,18.4,41,1011.8,20.6,1
2/13/2025,72,31.6,30.6,94,1013.5,28.6,0
2/14/2025,73,30.8,36.2,24,1013.5,26.3,1
2/15/2025,70,28,22.1,18,1012.6,25.3,0
2/16/2025,71,26.8,30.8,84,1007,24.6,0
2/17/2025,84,24.6,10.9,42,1008.4,19.6,0
2/18/2025,70,28.1,24.9,69,1006.9,26,0
2/19/2025,73,28.2,34.5,98,1014.6,23.3,0
2/20/2025,85,29.6,39.1,70,1014.3,27.4,1
2/21/2025,80,27.3,12.6,86,1006.6,23.1,1
2/22/2025,78,25.2,20.2,68,1011.8,21.4,0
2/23/2025,76,24.8,29.9,54,1006.7,20.9,0
2/24/2025,72,29.5,24.4,18,1010.5,27.2,0
2/25/2025,74,26.8,22.9,24,1009.7,24.7,0
2/26/2025,74,27.2,23,92,1014.3,25.1,0
2/27/2025,68,30.3,31.9,92,1008.8,26.9,1
2/28/2025,72,25.3,28.6,49,1011.8,21.2,0
3/1/2025,79,24.3,30.8,89,1014.7,21.3,1
3/2/2025,72,28.9,23.8,94,1010.6,26,0
3/3/2025,76,31.8,39.9,54,1008.4,28.6,1
3/4/2025,81,28.9,13.1,69,1011.3,24,0
3/5/2025,65,29.7,30.5,51,1014.7,26.8,1
3/6/2025,79,26.3,37.6,41,1008.5,22.3,0
3/7/2025,78,24.8,34.4,85,1012.1,21.4,0
3/8/2025,72,27.8,32.3,10,1013.4,23.1,1
3/9/2025,84,30.9,12,88,1007.6,27.8,1
3/10/2025,76,30.9,22.5,69,1011.1,27.3,0
3/11/2025,66,30.5,22.1,49,1007.5,27.6,0
3/12/2025,71,29.4,31.1,28,1012.7,26.1,0
3/13/2025,71,24.5,23.7,50,1006,20.2,0
3/14/2025,82,28.7,13.9,11,1011.9,24.4,0
