Date,Average Humidity (%),Average Temperature (°C),Rainfall 
3/1/2024,78,30.5,1
3/2/2024,76,30.7,0
3/3/2024,77,30.6,1
3/4/2024,75,30.8,0
3/5/2024,74,30.9,0
3/6/2024,73,31,1
3/7/2024,72,31.2,0
3/8/2024,71,31.3,1
3/9/2024,70,31.4,0
3/10/2024,69,31.5,1
3/11/2024,68,31.6,0
3/12/2024,67,31.7,1
3/13/2024,66,31.8,0
3/14/2024,65,31.9,1
3/15/2024,64,32,0
3/16/2024,63,32.1,1
3/17/2024,62,32.2,0
3/18/2024,61,32.3,1
3/19/2024,60,32.4,0
3/20/2024,59,32.5,1
3/21/2024,58,32.6,0
3/22/2024,57,32.7,1
3/23/2024,56,32.8,0
3/24/2024,55,32.9,1
3/25/2024,54,33,0
3/26/2024,53,33.1,1
3/27/2024,52,33.2,0
3/28/2024,51,33.3,1
3/29/2024,50,33.4,0
3/30/2024,49,33.5,1
